a,あ
i,い
u,う
e,え
o,お
ka,か
ki,き
ku,く
ke,け
ko,こ
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
kya,きゃ
kyi,きぃ
kyu,きゅ
kye,きぇ
kyo,きょ
gya,ぎゃ
gyi,ぎぃ
gyu,ぎゅ
gye,ぎぇ
gyo,ぎょ
qa,くぁ
qi,くぃ
qu,く
qe,くぇ
qo,くぉ
kwa,くぁ
kwi,くぃ
kwu,くぅ
kwe,くぇ
kwo,くぉ
gwa,ぐぁ
gwi,ぐぃ
gwu,ぐぅ
gwe,ぐぇ
gwo,ぐぉ
sa,さ
si,し
su,す
se,せ
so,そ
za,ざ
zi,じ
zu,ず
ze,ぜ
zo,ぞ
sya,しゃ
syi,しぃ
syu,しゅ
sye,しぇ
syo,しょ
sha,しゃ
shi,し
shu,しゅ
she,しぇ
sho,しょ
zya,じゃ
zyi,じぃ
zyu,じゅ
zye,じぇ
zyo,じょ
ja,じゃ
ji,じ
ju,じゅ
je,じぇ
jo,じょ
ta,た
ti,ち
tu,つ
te,て
to,と
tha,てゃ
thi,てぃ
thu,てゅ
the,てぇ
tho,てょ
tsa,つぁ
tsi,つぃ
tsu,つ
tse,つぇ
tso,つぉ
da,だ
di,ぢ
du,づ
de,で
do,ど
dha,でゃ
dhi,でぃ
dhu,でゅ
dhe,でぇ
dho,でょ
tya,ちゃ
tyi,ちぃ
tyu,ちゅ
tye,ちぇ
tyo,ちょ
cha,ちゃ
chi,ち
chu,ちゅ
che,ちぇ
cho,ちょ
dya,ぢゃ
dyi,ぢぃ
dyu,ぢゅ
dye,ぢぇ
dyo,ぢょ
na,な
ni,に
nu,ぬ
ne,ね
no,の
nya,にゃ
nyi,にぃ
nyu,にゅ
nye,にぇ
nyo,にょ
ha,は
hi,ひ
hu,ふ
he,へ
ho,ほ
fa,ふぁ
fi,ふぃ
fu,ふ
fe,ふぇ
fo,ふぉ
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
va,ゔぁ
vi,ゔぃ
vu,ゔ
ve,ゔぇ
vo,ゔぉ
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
hya,ひゃ
hyi,ひぃ
hyu,ひゅ
hye,ひぇ
hyo,ひょ
bya,びゃ
byi,びぃ
byu,びゅ
bye,びぇ
byo,びょ
pya,ぴゃ
pyi,ぴぃ
pyu,ぴゅ
pye,ぴぇ
pyo,ぴょ
ma,ま
mi,み
mu,む
me,め
mo,も
mya,みゃ
myi,みぃ
myu,みゅ
mye,みぇ
myo,みょ
ya,や
yi,い
yu,ゆ
ye,いぇ
yo,よ
ra,ら
ri,り
ru,る
re,れ
ro,ろ
rya,りゃ
ryi,りぃ
ryu,りゅ
rye,りぇ
ryo,りょ
wa,わ
wi,うぃ
wu,う
we,うぇ
wo,を
wha,うぁ
whi,うぃ
whu,う
whe,うぇ
who,うぉ
wyi,ゐ
wye,ゑ
n,ん
nn,ん
